,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
1,,,,,,,,,,,
2,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
3,0.0,8.0,13.0,0.0,0.0,0.0,0.6190476190476191,0.38095238095238093,0.0,0.0,
4,0.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,
5,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,0.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,
9,,,,,,,,,,,
10,0.0,1.0,4.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
14,0.0,3.0,5.0,0.0,0.0,0.0,0.625,0.375,0.0,0.0,
15,,,,,,,,,,,
16,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
17,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
18,,,,,,,,,,,
19,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
20,0.0,2.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
21,0.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,
22,,,,,,,,,,,
23,0.0,6.0,6.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
24,0.0,2.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
25,,,,,,,,,,,
26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,0.0,2.0,3.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,
28,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.25
29,,,,,,,,,,,
30,0.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,
31,0.0,2.0,3.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,
32,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
33,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
34,0.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,
35,,,,,,,,,,,
36,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
37,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
38,,,,,,,,,,,
39,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
40,0.0,3.0,4.0,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,
41,,,,,,,,,,,
42,0.0,3.0,6.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
43,0.0,1.0,3.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
44,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
45,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
46,0.0,1.0,4.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,
47,,,,,,,,,,,
48,0.0,3.0,9.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
49,0.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,
50,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
51,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
52,,,,,,,,,,,
53,5.0,62.0,92.0,2.0,0.07462686567164178,0.7142857142857143,0.6024844720496895,0.4428249678249677,0.13513513513513511,0.1289521444631696,0.85
