,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc
0,0.0,1.0,3.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,0.0,1.0,19.0,2.0,0.0,0.0,0.8636363636363636,0.045454545454545456,0.0,-0.06900655593423542,0.475
5,0.0,3.0,41.0,0.0,0.0,0.0,0.9318181818181818,0.06818181818181818,0.0,0.0,
6,1.0,2.0,2.0,1.0,0.3333333333333333,0.5,0.5,0.5,0.4,0.0,0.5
7,3.0,5.0,0.0,0.0,0.375,1.0,0.375,1.0,0.5454545454545454,0.0,0.5
8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
9,1.0,9.0,0.0,0.0,0.1,1.0,0.1,1.0,0.18181818181818182,0.0,0.5
10,,,,,,,,,,,
11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
12,1.0,5.0,0.0,0.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.2857142857142857,0.0,0.5
13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
14,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
15,1.0,8.0,0.0,0.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.2,0.0,0.5
16,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
17,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
18,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
19,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
20,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
21,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
22,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
23,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
24,1.0,13.0,0.0,0.0,0.07142857142857142,1.0,0.07142857142857142,1.0,0.13333333333333333,0.0,0.5
25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
26,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
27,2.0,9.0,0.0,0.0,0.18181818181818182,1.0,0.18181818181818182,1.0,0.3076923076923077,0.0,0.5
28,3.0,12.0,0.0,0.0,0.2,1.0,0.2,1.0,0.3333333333333333,0.0,0.5
29,,,,,,,,,,,
30,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
31,6.0,16.0,0.0,0.0,0.2727272727272727,1.0,0.2727272727272727,1.0,0.42857142857142855,0.0,0.5
32,3.0,8.0,0.0,0.0,0.2727272727272727,1.0,0.2727272727272727,1.0,0.42857142857142855,0.0,0.5
33,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
34,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
35,1.0,4.0,0.0,0.0,0.2,1.0,0.2,1.0,0.3333333333333333,0.0,0.5
36,1.0,11.0,0.0,0.0,0.08333333333333333,1.0,0.08333333333333333,1.0,0.15384615384615385,0.0,0.5
37,1.0,8.0,0.0,0.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.2,0.0,0.5
38,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
39,,,,,,,,,,,
40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
41,1.0,9.0,0.0,0.0,0.1,1.0,0.1,1.0,0.18181818181818182,0.0,0.5
42,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,0.5
43,27.0,193.0,65.0,3.0,0.12272727272727273,0.9,0.3194444444444444,0.9152334152334152,0.216,0.10928763921898463,0.4984375
